program_id,university,programName_en,programName_ch,FacultyName,isdoubledegree,isPopular,isGod,isInterview,cat_ch,cat,type_ch,type,type2_ch,type2,first_year_intake,isInterview_1,numOfYear,vacancy_2025,UQ_2025,Median_2025,LQ_2025,vacancy_2024,UQ_2024,Median_2024,LQ_2024,UQ_2023,Median_2023,LQ_2023
JS1000,CITYU,BSc Computational Finance and Financial Technology (streams: Computational Finance / Financial Technology),計算金融與金融科技理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,金融科技,Fintech,金融,finance,10,Selective,4,10,,24.5,23.5,799,,24.5,,,,
JS1001,CITYU,BBA Global Business,全球商業工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,環球商業,Global Business,15,Selective,4,15,,29.5,28,799,,29,25.5,,,
JS1002,CITYU,BBA Accountancy,會計學工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,會計,Accounting,148,Selective,4,148,,22,21.5,799,,20.5,20,,,
JS1005,CITYU,BBA Management,管理學工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,管理學,Management,58,Selective,4,58,,22,21.5,799,,20.5,20.5,,,
JS1007,CITYU,BBA Marketing,市場營銷工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,市場營銷,Marketing,82,Selective,4,82,,24.5,23.5,799,,23.5,22,,,
JS1012,CITYU,Economics and Finance (Majors: BBA Business Economics / BBA Finance),經濟與金融 (商業經濟工商管理學士 / 金融工商管理學士),College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,經濟,Economics,金融,finance,29,Not required,4,29,,23,22.5,799,,21.5,21.5,,,
JS1013,CITYU,BBA Business Economics,商業經濟工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,經濟,Economics,31,Not required,4,31,,22,21.5,799,,20.5,20.5,,,
JS1014,CITYU,BBA Finance,金融工商管理學士,College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,金融,finance,96,Not required,4,96,,21.5,21.5,799,,20.5,20.5,,,
JS1017,CITYU,Information Systems (Majors: BBA Global Business Systems Management / BBA Information Management),資訊系統 (全球商業系統管理工商管理學士 / 資訊管理工商管理學士),College of Business,FALSE,FALSE,FALSE,,商業與金融,Business & Finance,工商管理,Business Administration,資訊系統,Information System,62,Selective,4,62,,21,20.5,799,,20.5,19.5,,,
JS1018,CITYU,BBA Global Business Systems Management (Features: Intelligent Technologies / Global Business / Study Exchange),全球商業系統管理工商管理學士,College of Business,FALSE,FALSE,TRUE,,商業與金融,Business & Finance,工商管理,Business Administration,商業,Global Business,10,Selective,4,10,,24,23.5,799,,22,22,,,
