program_id,university,name,formula,exclude_category_b,exclude_category_c,min_total,min_core_chi,min_core_eng,min_core_math,csd_required,min_elective1_grade,min_elective2_grade,HKU_6th_multiplier,HKUST_HighestAttainableScore,Column1,original_weight_text,weight_explanation,weight_regular,weight_best_of,original_include_text,Explanation,must_include,require_any,Remarks,Remarks_chi,notes,max_weighted_electives
JS1000,CITYU,BSc Computational Finance and Financial Technology (Streams: Computational Finance Stream / Financial Technology Stream),Best 5,,,,3,3,4,YES,3,3,,,6,,,,,English AND Mathematics,英文、數學,core:eng|core:math,,,,,
JS1001,CITYU,BBA Global Business (Features: 3 Exchanges / Joint Bachelor’s Degree Program with Columbia University (US) / Overseas Summer School & Study Tour / Business Consultancy Project/Scholarship and Sponsorship),Best 5,,,,3,3,3,YES,3,3,,,7,English × 1.5,英文 × 1.5,core:eng=1.5,,,,,,,,,
JS1002,CITYU,BBA Accountancy (Streams: Professional Accounting / ESG and Tech),Best 5,,,,3,3,3,YES,3,3,,,8,,,,,Mathematics,數學,core:math,,,,,
JS1005,CITYU,BBA Management (Streams: Human Resources Management / Strategy and International Management),Best 5,,,,3,3,3,YES,3,3,,,9,,,,,Mathematics,數學,core:math,,,,,
JS1007,CITYU,BBA Marketing (Streams: Global Marketing / Marketing Analytics),Best 5,,,,3,3,3,YES,3,3,,,10,English × 1.5,英文 × 1.5,core:eng=1.5,,Mathematics,數學,core:eng|core:math,,,,,
JS1012,CITYU,Economics and Finance (Majors: BBA Business Economics / BBA Finance),Best 5,,,,3,3,3,YES,3,3,,,11,,,,,Mathematics,數學,core:math,,,,,
JS1013,CITYU,BBA Business Economics (Features: Economic Theory / International Economics / Economic and Business Forecasting / Quantitative Analysis),Best 5,,,,3,3,3,YES,3,3,,,12,,,,,Mathematics,數學,core:math,,,,,
JS1014,CITYU,BBA Finance (Features: Investment Analysis / Financial Markets / Corporate Finance / Risk Management / Trading Room Workshop),Best 5,,,,3,3,3,YES,3,3,,,13,,,,,Mathematics,數學,core:math,,,,,
JS1017,CITYU,Intelligent Information Systems (Majors: BBA Global Business Systems Management / BBA Artificial Intelligence in Business)*,Best 5,,,,3,3,3,YES,3,3,,,14,,,,,Mathematics,數學,core:math,,,,,
JS1018,CITYU,BBA Global Business Systems Management (Features: Intelligent Technologies / Global Business / Study Exchange),Best 5,,,,3,3,3,YES,3,3,,,15,,,,,Mathematics,數學,core:eng|core:math,,,,,
JS1019,CITYU,BBA Artificial Intelligence in Business (Streams: Business Intelligence / Information Systems Auditing / Internet Services and Social Networks / Data Informatics)*,Best 5,,,,3,3,3,YES,3,3,,,16,,,,,Mathematics,數學,core:math,,,,,
JS1026,CITYU,BBA Business Decision Analytics (Streams: Decision Analytics / Data Informatics),Best 5,,,,3,3,3,YES,3,3,,,17,,,,,Mathematics,數學,core:math,,,,,
JS1027,CITYU,BBA Global Operations Management (Features: Supply Chain Management / Operations Efficiency / Process Improvement / Operations Analytics / Resource Planning),Best 5,,,,3,3,3,YES,3,3,,,18,,,,,Mathematics,數學,core:math,,,,,
JS1040,CITYU,Creative Arts and Technology Excellence (CREATE) (Options: Creative Media (School-based) / BA Creative Media / BSc Creative Media / BAS New Media),Best 5,,,,3,3,2,YES,3,3,,,46,English × 2.0,英文 × 2.0,core:eng=2.0,,English Language,英文,core:eng,,,,,
JS1041,CITYU,Creative Media (Majors: BA Creative Media / BSc Creative Media / BAS New Media),Best 5,,,,3,3,2,YES,3,3,,,47,English × 2.0,英文 × 2.0,core:eng=2.0,,English Language,英文,core:eng,,,,,
JS1042,CITYU,BA Creative Media (Features: Animation / Cinema & Photography / Critical Theory & Practices / Game & Playable Media / New Media Art / Sound Art),Best 5,,,,3,3,2,YES,3,3,,,48,English × 2.0,英文 × 2.0,core:eng=2.0,,English Language,英文,core:eng,,,,,
JS1043,CITYU,BSc Creative Media (Features: Combination of Creative Media and Computer Science Courses / Animation/ Games / Installation / Interactivity),Best 5,,,,3,3,2,YES,3,3,,,49,English × 2.0; Math × 1.5,英文 × 2.0 ; 數學 × 1.5,core:eng=2.0; core:math=1.5,,English AND Mathematics,英文、數學,core:eng|core:math,,,,,
JS1044,CITYU,BAS New Media (Features: Media Art / Robotics & AI / Art & Technology / Materials & Digital Fabrication),Best 5,,,,3,3,2,YES,3,3,,,50,English × 2.0,英文 × 2.0,core:eng=2.0,,English Language,英文,core:eng,,,,,
JS1050,CITYU,"International Sustainability Programme for Innovation, Research & Entrepreneurship (INSPIRE) (Majors: BEng Energy Science & Engineering / BEng Environmental Science & Engineering + Features: Global Focus)",Best 5,,,,3,3,2,YES,3,3,,,51,Mathematics × 2.5; English × 2.0; Biology × 2.5; Chemistry × 2.5; Physics × 2.5; Biology × 1.5; Chemistry × 1.5; Geography × 1.5; M1 × 1.5; M2 × 1.5; Physics × 1.5,數學 × 2.5；英文 × 2.0；生物 × 2.5；化學 × 2.5；物理 × 2.5；生物 × 1.5；化學 × 1.5；地理 × 1.5；M1 × 1.5；M2 × 1.5；物理 × 1.5,core:math=2.5; core:eng=2.0,elec:bio=2.5; elec:chem=2.5; elec:phys=2.5; elec:geog=1.5; ext:M1=1.5; ext:M2=1.5,"Level 3 in one elective subject from: · Biology · Chemistry · Physics (include English, Mathematics and one subject from Biology, Chemistry or Physics)",英文、數學；必須有至少一科選修科目達到 3 級：生物、化學或物理,core:eng|core:math,1x(elec:bio|elec:chem|elec:phys)@>=3,,,,
JS1051,CITYU,Energy and Environment (Majors: BEng Energy Science and Engineering / BEng Environmental Science and Engineering),Best 5,,,,3,3,2,YES,3,3,,,52,Mathematics × 2.5; English × 2.0; Biology × 2.5; Chemistry × 2.5; Physics × 2.5; Biology × 1.5; Chemistry × 1.5; Geography × 1.5; M1 × 1.5; M2 × 1.5; Physics × 1.5,數學 × 2.5；英文 × 2.0；生物 × 2.5；化學 × 2.5；物理 × 2.5；生物 × 1.5；化學 × 1.5；地理 × 1.5；M1 × 1.5；M2 × 1.5；物理 × 1.5,core:math=2.5; core:eng=2.0,elec:bio=2.5; elec:chem=2.5; elec:phys=2.5; elec:geog=1.5; ext:M1=1.5; ext:M2=1.5,"Level 3 in one elective subject from: · Biology · Chemistry · Physics (include English, Mathematics and one subject from Biology, Chemistry or Physics)",英文、數學；必須有至少一科選修科目達到 3 級：生物、化學或物理,core:eng|core:math,1x(elec:bio|elec:chem|elec:phys)@>=3,,,,
JS1052,CITYU,"BEng Environmental Science and Engineering and BBA Finance [Double Degree; Features: Environmental, Social & Governance (ESG) / Green Finance / Environmental Technology / Interdisciplinary Education]",Best 5,,,,3,3,3,YES,3,3,,,55,Mathematics × 2.5; English × 2.0; Biology × 2.5; Chemistry × 2.5; Physics × 2.5; Biology × 1.5; Chemistry × 1.5; Geography × 1.5; M1 × 1.5; M2 × 1.5; Physics × 1.5,數學 × 2.5；英文 × 2.0；生物 × 2.5；化學 × 2.5；物理 × 2.5；生物 × 1.5；化學 × 1.5；地理 × 1.5；M1 × 1.5；M2 × 1.5；物理 × 1.5,core:math=2.5; core:eng=2.0,elec:bio=2.5; elec:chem=2.5; elec:phys=2.5; elec:geog=1.5; ext:M1=1.5; ext:M2=1.5,"Level 3 in one elective subject from: · Biology · Chemistry · Physics (include English, Mathematics and one subject from Biology, Chemistry or Physics)",英文、數學；必須有至少一科選修科目達到 3 級：生物、化學或物理,core:eng|core:math,1x(elec:bio|elec:chem|elec:phys)@>=3,,,,
JS1053,CITYU,"BSc Environment and Sustainable Business [Features: Environmental Science / Business Sustainability / Environmental, Social & Governance (ESG)]",Best 5,,,,3,3,3,YES,3,3,,,53,"Mathematics × 2.5; English × 2.0; Biology × 2.5; Chemistry × 2.5; Physics × 2.5; Economics × 2.5; Introduction to Business, Accounting and Finance × 2.5; Biology × 1.5; Chemistry × 1.5; Geography × 1.5; M1 × 1.5; M2 × 1.5; Physics × 1.5",數學 × 2.5；英文 × 2.0；生物 × 2.5；化學 × 2.5；物理 × 2.5；經濟 × 2.5；企業、會計與財務概論 × 2.5；生物 × 1.5；化學 × 1.5；地理 × 1.5；M1 × 1.5；M2 × 1.5；物理 × 1.5,core:math=2.5; core:eng=2.0,elec:bio=2.5; elec:chem=2.5; elec:phys=2.5; elec:econ=2.5; elec:bafs=2.5; elec:geog=1.5; ext:M1=1.5; ext:M2=1.5,"Level 3 in one elective subject from: · Biology · Chemistry · Physics (include English, Mathematics and one subject from Biology, Chemistry or Physics)",英文、數學；必須有至少一科選修科目達到 3 級：生物、化學或物理,core:eng|core:math,1x(elec:bio|elec:chem|elec:phys)@>=3,,,,
JS1061,CITYU,Bachelor of Laws,Best 5,,,,3,5,2,YES,3,3,,,54,,,,,English Language,英文,core:eng,,,,,
JS1062,CITYU,Bachelor of Laws and BBA Accountancy (Double Degree),Best 5,,,,3,5,3,YES,3,3,,,56,English × 1.5,英文 × 1.5,core:eng=1.5,,English Language,英文,core:eng,,,,,
JS1070,CITYU,"AI, Computing and Transformation (ACT) (Features: Free Choice of Major / One-to-One Advisor / Elite Work Placement / Executive Mentor Scheme / Premium Overseas Exchange / Internship Exchange)",3C2X,,,,3,3,3,YES,3,3,,,19,English × 2.0; Mathematics × 2.0,英文 × 2.0；數學 × 2.0,,core:eng=2.0; core:math=2.0,,,,,,,,
JS1071,CITYU,Data Science (Majors: BSc Data Science / BSc Data and Systems Engineering),3C2X,,,,3,3,3,YES,3,3,,,20,Math × 2.0; English × 1.5,數學 × 2.0 ; 英文 × 1.5,core:math=2.0; core:eng=1.5,,,,,,,,,
JS1072,CITYU,BSc Data Science (Features: Data Science / Machine Learning / Data Mining / Big Data Analysis),3C2X,,,,3,3,3,YES,3,3,,,21,Math × 2.0; English × 1.5,數學 × 2.0 ; 英文 × 1.5,core:math=2.0; core:eng=1.5,,,,,,,,,
