year,level,score,percentage
2024,5**,380,76
2024,5*,343,69
2024,5,307,61
2024,4,277,55
2023,5**,174,79
2023,5*,166,76
2023,5,139,63
2023,4,118,54
2023,3,80,37
2022,5**,180,83
2022,5*,168,77
2022,5,145,67
2022,4,110,50
2021,5**,177,78
2021,5*,161,71
2021,5,139,62
2021,4,113,50
2021,3,97,43
2020,5**,423,85
2020,5*,392,78
2020,5,362,72
2020,4,310,62
2020,3,250,50
2019,5**,386,77
2019,5*,355,71
2019,5,327,65
2019,4,285,57
2019,3,219,44
2018,5**,427,85
2018,5*,389,78
2018,5,359,72
2018,4,288,58
2018,3,270,54
2017,5**,420,84
2017,5*,390,78
2017,5,355,71
2017,4,320,64
2017,3,265,53
2016,5**,391,78
2016,5*,377,75
2016,5,329,66
2016,4,281,56
2016,3,225,45
2015,5**,409,82
2015,5*,378,76
2015,5,358,72
2015,4,300,60
2015,3,240,48
2014,5**,381,76
2014,5*,346,69
2014,5,313,63
2014,4,261,52
2014,3,231,46
2013,5**,398,80
2013,5*,366,73
2013,5,340,68
2013,4,335,67
2013,3,262,52
2012,5**,386,77
2012,5*,371,74
2012,5,342,68
2012,4,290,58 
