year,level,score,percentage
2024,5**,175,74
2024,5*,165,70
2024,5,150,64
2023,5**,177,75
2023,5*,161,68
2023,5,152,64
2022,5**,193,80
2022,5*,0,0
2022,5,149,62
2022,4,140,58
2022,3,99,41
2021,5**,170,71
2021,5*,158,66
2021,5,145,60
2021,4,117,49
2021,3,93,39
2020,5**,175,76
2020,5*,163,71
2020,5,142,62
2020,4,123,53
2020,3,101,44
2019,5**,176,77
2019,5*,159,69
2019,5,151,66
2019,4,129,56
2019,3,106,46
2018,5**,178,80
2018,5*,166,75
2018,5,156,70
2018,4,131,59
2018,3,107,48
2017,5**,398,80
2017,5*,377,75
2017,5,350,70
2017,4,340,68
2017,3,240,48
2016,5**,393,79
2016,5*,363,73
2016,5,335,67
2016,4,328,66
2016,3,225,45
2015,5**,390,78
2015,5*,376,75
2015,5,338,67
2015,4,330,66
2015,3,235,47
2014,5**,391,78
2014,5*,364,73
2014,5,325,65
2014,4,292,58
2014,3,221,44
2013,5**,404,81
2013,5*,363,73
2013,5,341,68
2013,4,315,63
2012,5**,402,80
2012,5*,363,73
2012,5,330,66
2012,4,314,63 
