year,level,score,percentage
2024,5**,446,89
2024,5*,418,84
2024,5,389,78
2024,4,370,74
2024,3,288,58
2023,5**,170,87
2023,5*,0,0
2023,5,148,76
2023,4,135,69
2022,5**,175,87
2022,5*,166,82
2022,5,161,80
2022,4,131,65
2021,5**,178,93
2021,5*,165,86
2021,5,163,85
2021,4,137,71
2021,3,122,64
2020,5**,456,91
2020,5*,429,86
2020,5,404,81
2020,4,365,73
2020,3,335,67
2019,5**,438,88
2019,5*,418,84
2019,5,393,79
2019,4,355,71
2019,3,325,65
2018,5**,444,89
2018,5*,441,88
2018,5,413,83
2018,4,401,80
2018,3,365,73
2017,5**,460,92
2017,5*,425,85
2017,5,403,81
2016,5**,417,83
2016,5*,390,78
2016,5,0,0
2016,4,354,71
2015,5**,425,85
2015,5*,400,80
2015,5,385,77
2015,4,365,73
2015,3,335,67
2014,5**,416,83
2014,5*,397,79
2014,5,377,75
2014,4,350,70
2013,5**,428,85
2013,5*,406,81
2013,5,385,77
2013,4,323,64 
