year,level,score,percentage
2024,5*,92,92
2024,5,76,76
2024,4,72,72
2024,3,0,0
2024,2,42,42
2023,5*,91,91
2023,5,76,76
2023,4,65,65
2023,3,57,57
2023,2,42,42
2022,5*,85,85
2022,5,80,80
2022,4,0,0
2022,3,51,51
2022,2,0,0
2021,5*,94,94
2021,5,85,85
2021,4,74,74
2021,3,62,62
2021,2,58,58
2020,5*,87,87
2020,5,83,83
2020,4,79,79
2020,3,60,60
2020,2,49,49
2019,5*,93,93
2019,5,91,91
2019,4,80,80
2019,3,73,73
2019,2,58,58
2018,5*,93,93
2018,5,86,86
2018,4,77,77
2018,3,68,68
2018,2,56,56
2017,5*,91,91
2017,5,79,79
2017,4,74,74
2017,3,64,64
2017,2,52,52
2016,5*,88,88
2016,5,84,84
2016,4,77,77
2016,3,67,67
2016,2,46,46
2015,5*,93,93
2015,5,90,90
2015,4,77,77
2015,3,67,67
2015,2,47,47
2014,5*,84,84
2014,5,75,75
2014,4,60,60
2014,3,57,57
2014,2,43,43
2013,5*,92,92
2013,5,79,79
2013,4,71,71
2013,3,55,55
2013,2,38,38
2012,5*,91,91
2012,5,87,87
2012,4,73,73
2012,3,57,57
2012,2,42,42 
