Subject,Year,Grade,Score,Percentage,Paper
English,2024,5**,562,84,Overall
English,2024,5*,533,80,Overall
English,2024,5,487,73,Overall
English,2024,4,395,59,Overall
English,2024,3,303,45,Overall
English,2024,2,260,39,Overall
English,2023,5**,596,89,Overall
English,2023,5*,562,84,Overall
English,2023,5,507,76,Overall
English,2023,4,438,66,Overall
English,2023,3,338,51,Overall
English,2023,2,278,42,Overall
Chinese,2024,5**,,,
Chinese,2024,5*,,,
Chinese,2024,5,,,
Chinese,2024,4,,,
Chinese,2024,3,,,
Chinese,2024,2,,,
Math,2024,5**,,,
Math,2024,5*,,,
Math,2024,5,,,
Math,2024,4,,,
Math,2024,3,,,
Math,2024,2,,, 
