year,level,score,percentage
2024,5**,176,88
2024,5*,162,81
2024,5,146,73
2024,4,121,61
2024,3,97,49
2023,5**,175,87
2023,5*,162,81
2023,5,144,72
2023,4,98,49
2023,3,66,33
2023,2,37,18
2022,5**,176,84
2022,5*,166,79
2022,5,145,69
2022,4,130,62
2022,3,79,38
2021,5**,177,86
2021,5*,161,78
2021,5,144,70
2021,4,111,54
2021,3,79,38
2020,5**,176,84
2020,5*,163,78
2020,5,150,71
2020,4,111,53
2020,3,92,44
2019,5**,172,87
2019,5*,163,83
2019,5,147,75
2019,4,109,55
2019,3,75,38
2018,5**,181,84
2018,5*,168,78
2018,5,164,76
2018,4,109,50
2018,3,75,35
2017,5**,175,88
2017,5*,160,81
2017,5,154,78
2017,4,129,65
2017,3,107,54
2016,5**,175,87
2016,5*,161,80
2016,5,158,78
2016,4,135,67
2016,3,110,54
2015,5**,175,88
2015,5*,162,81
2015,5,150,75
2015,4,123,62
2015,3,106,53
2014,5**,172,91
2014,5*,164,87
2014,5,155,82
2014,4,133,70
2014,3,104,55
2013,5**,172,87
2013,5*,169,85
2013,5,161,81
2013,4,128,65
2013,3,107,54
2012,5**,175,91
2012,5*,0,0
2012,5,151,79
2012,4,138,72 
