year,level,score,percentage
2025,5**,459,92
2025,5*,427,85
2025,5,379,76
2025,4,349,70
2025,3,217,43
2024,5**,475,95
2024,5*,449,89
2024,5,420,84
2024,4,393,78
2024,3,225,45
2023,5**,156,92
2023,5*,148,88
2023,5,136,80
2023,4,109,64
2023,3,88,52
2022,5**,156,93
2022,5*,147,88
2022,5,135,81
2022,4,108,65
2021,5**,160,92
2021,5*,148,85
2021,5,135,78
2021,4,115,66
2021,3,99,57
2020,5**,444,89
2020,5*,413,83
2020,5,371,74
2020,4,326,65
2020,3,270,54
2019,5**,453,90
2019,5*,427,85
2019,5,384,77
2019,4,316,63
2019,3,286,57
2018,5**,463,92
2018,5*,437,87
2018,5,400,80
2018,4,319,64
2018,3,300,60
2017,5**,434,87
2017,5*,396,79
2017,5,361,72
2017,4,287,58
2017,3,270,54
2016,5**,455,91
2016,5*,419,84
2016,5,376,75
2016,4,358,72
2016,3,280,56
2015,5**,460,92
2015,5*,421,84
2015,5,377,75
2015,4,320,64
2015,3,281,56
2014,5**,442,88
2014,5*,410,82
2014,5,360,72
2014,4,300,60
2014,3,213,43
2013,5**,422,84
2013,5*,397,79
2013,5,350,70
2013,4,278,56
2013,3,220,44
2012,5**,442,88
2012,5*,407,81
2012,5,380,76
2012,4,299,60
