year,level,score,percentage
2024,5**,180,88
2024,5*,158,77
2024,5,145,71
2023,5**,174,85
2023,5*,161,79
2023,5,143,70
2023,4,114,56
2022,5**,170,84
2022,5*,158,78
2022,5,144,71
2022,4,136,67
2021,5**,170,85
2021,5*,156,78
2021,5,150,75
2021,4,121,61
2021,3,103,52
2020,5**,172,78
2020,5*,156,71
2020,5,147,67
2020,4,130,59
2020,3,93,42
2019,5**,176,77
2019,5*,160,70
2019,5,145,64
2019,4,116,51
2019,3,105,46
2018,5**,183,82
2018,5*,165,74
2018,5,155,70
2018,4,126,57
2018,3,120,54
2017,5**,403,81
2017,5*,364,73
2017,5,355,71
2017,4,336,67
2017,3,274,55
2016,5**,403,81
2016,5*,390,78
2016,5,339,68
2016,4,310,62
2016,3,274,55
2015,5**,368,74
2015,5*,342,68
2015,5,319,64
2015,4,260,52
2015,3,245,49
2014,5**,373,75
2014,5*,350,70
2014,5,318,64
2014,4,267,53
2014,3,253,51
2013,5**,360,72
2013,5*,335,67
2013,5,310,62
2013,4,255,51
2013,3,245,49
2012,5**,394,79
2012,5*,0,0
2012,5,0,0
2012,4,295,59 
