year,level,score,percentage
2025,5**,439,66
2025,5,239,36
2024,5,387,58
2024,4,316,47
2023,5,162,61
2023,4,126,47
2022,5,166,65
2022,4,129,51
2021,5**,474,71
2021,5*,440,66
2021,5,394,59
2021,4,367,55
2021,3,300,45
2020,5**,474,71
2020,5*,440,66
2020,5,394,59
2020,4,367,55
2020,3,300,45
2019,5**,467,70
2019,5*,440,66
2019,5,387,58
2019,4,360,54
2019,3,294,44
2018,5**,184,67
2018,5*,176,64
2018,5,140,51
2018,4,127,46
2018,3,113,41
2017,5**,204,72
2017,5*,187,66
2017,5,150,53
2017,4,135,48
2017,3,121,43
2016,5**,355,71
2016,5*,320,64
2016,5,275,55
2016,4,255,51
2016,3,215,43
2015,5**,340,68
2015,5*,285,57
2015,5,265,53
2015,4,245,49
2015,3,195,39
2014,5**,189,72
2014,5*,174,66
2014,5,157,60
2014,4,140,53
2014,3,112,43
2013,5**,496,74
2013,5*,455,68
2013,5,415,62
2013,4,367,55
2013,3,301,45
