year,level,score,percentage
2025,5**,667,100
2025,5*,466,70
2025,5,451,68
2025,4,415,62
2025,3,381,57
2025,2,329,49
2024,5**,466,70
2024,5*,451,68
2024,5,415,62
2024,4,381,57
2024,3,329,49
2023,5**,706,71
2023,5*,656,66
2023,5,631,63
2023,4,573,57
2023,3,516,52
2023,2,439,44
2022,5**,771,77
2022,5*,662,66
2022,5,626,63
2022,4,565,56
2022,3,507,51
2021,5**,720,72
2021,5*,677,68
2021,5,646,65
2021,4,583,58
2021,3,528,53
2021,2,473,47
2020,5**,299,72
2020,5*,283,68
2020,5,269,65
2020,4,244,59
2020,3,222,53
2020,2,196,47
2019,5**,354,73
2019,5*,333,67
2019,5,316,63
2019,4,288,58
2019,3,263,53
2019,2,245,49
2018,5**,361,72
2018,5*,340,68
2018,5,324,65
2018,4,298,60
2018,3,268,53
2018,2,251,50
2017,5**,354,71
2017,5*,325,65
2017,5,313,63
2017,4,286,57
2017,3,267,53
2016,5**,338,67
2016,5*,320,64
2016,5,301,60
2016,4,275,55
2016,3,260,52
2016,2,230,46
2015,5**,327,65
2015,5*,309,62
2015,5,297,59
2015,4,265,53
2015,3,242,48
2015,2,207,41
2014,5**,337,68
2014,5*,313,63
2014,5,296,59
2014,4,269,54
2014,3,242,48
2014,2,201,40
2013,5**,371,74
2013,5*,318,64
2013,5,299,60
2013,4,269,54
2013,3,244,49
2013,2,204,41
2012,5**,355,71
2012,5*,330,66
2012,5,310,62
2012,4,280,56
2012,3,245,49
