year,level,score,percentage
2025,5**,215,72
2025,5*,199,67
2025,5,191,64
2025,4,173,58
2025,3,152,51
2025,2,130,44
2024,5**,237,75
2024,5*,225,71
2024,5,201,64
2024,4,189,60
2024,3,164,52
2023,5**,157,65
2023,5*,150,63
2023,5,135,56
2023,4,123,51
2023,3,102,43
2023,2,87,36
2022,5**,162,68
2022,5*,147,61
2022,5,141,59
2022,4,123,51
2022,3,97,40
2022,2,92,38
2021,5**,181,68
2021,5*,171,64
2021,5,161,60
2021,4,148,55
2021,3,128,48
2021,2,114,43
2020,5**,56,66
2020,5*,54,64
2020,5,50,59
2020,4,44,52
2020,3,37,44
2020,2,31,36
2019,5**,59,67
2019,5*,55,63
2019,5,52,59
2019,4,46,52
2019,3,40,45
2019,2,33,38
2018,5**,71,71
2018,5*,67,67
2018,5,63,63
2018,4,56,56
2018,3,50,50
2018,2,47,47
2017,5**,57,63
2017,5*,52,58
2017,5,49,54
2017,4,43,48
2017,3,38,42
2017,2,31,34
2016,5**,51,61
2016,5*,48,57
2016,5,47,56
2016,4,40,48
2016,3,36,43
2016,2,29,35
2015,5**,50,58
2015,5*,47,55
2015,5,45,52
2015,4,38,44
2015,3,33,38
2015,2,27,31
2014,5**,49,57
2014,5*,46,53
2014,5,44,51
2014,4,37,43
2014,3,32,37
2014,2,25,29
2013,5**,52,57
2013,5*,47,51
2013,5,44,48
2013,4,38,41
2013,3,32,35
2013,2,25,27
