year,level,score,percentage
2025,5**,168,90
2025,5*,161,86
2025,5,142,76
2025,4,123,66
2024,5**,168,93
2024,5*,157,87
2024,5,141,78
2024,4,108,60
2023,5**,162,95
2023,5*,154,90
2023,5,144,84
2023,4,111,65
2022,5**,158,95
2022,5*,152,92
2022,5,144,87
2022,4,132,80
2021,5**,164,92
2021,5*,160,90
2021,5,143,80
2021,4,133,75
2021,3,105,59
2021,2,77,43
2020,5**,162,93
2020,5*,155,89
2020,5,143,82
2020,4,119,68
2020,3,104,60
2020,2,75,43
2019,5**,165,91
2019,5*,156,86
2019,5,143,79
2019,4,118,65
2019,3,104,57
2019,2,75,41
2018,5**,167,91
2018,5*,158,86
2018,5,145,79
2018,4,119,65
2018,3,108,59
2018,2,75,41
2017,5**,166,92
2017,5*,158,88
2017,5,150,83
2017,4,126,70
2017,3,108,60
2017,2,76,42
2016,5**,166,91
2016,5*,160,88
2016,5,144,79
2016,4,117,64
2016,3,104,57
2016,2,71,39
2015,5**,170,91
2015,5*,165,88
2015,5,151,81
2015,4,122,65
2015,3,108,58
2015,2,75,40
2014,5**,164,93
2014,5*,157,89
2014,5,145,82
2014,4,116,66
2014,3,115,65
2014,2,77,44
2013,5**,171,90
2013,5*,159,83
2013,5,149,78
2013,4,130,68
2013,3,106,55
2013,2,72,38
2012,5**,167,93
2012,5*,160,89
2012,5,151,84
2012,4,128,72 
