year,level,score,percentage
2025,5**,189,72
2025,5*,184,70
2025,5,149,57
2025,4,133,51
2025,3,101,38
2024,5**,181,76
2024,5*,168,71
2024,5,151,63
2024,4,139,58
2024,3,112,47
2023,5**,181,77
2023,5*,169,72
2023,4,137,59
2022,5**,183,77
2022,5,153,65
2022,4,149,63
2021,5**,187,77
2021,5*,167,69
2021,5,159,66
2021,4,131,54
2021,3,107,44
2020,5**,180,74
2020,5*,167,68
2020,5,153,63
2020,4,131,54
2020,3,122,50
2019,5**,181,82
2019,5*,172,77
2019,5,166,75
2019,4,132,59
2019,3,119,54
2018,5**,192,86
2018,5*,167,75
2018,5,163,73
2018,4,128,57
2017,5**,178,83
2017,5*,168,79
2016,5**,176,84
2016,5*,168,80
2016,5,159,76
2016,4,128,61
2015,5**,197,87
2015,5*,179,79
2015,5,0,0
2015,4,0,0
2014,5**,180,77
2014,5*,177,76
2014,5,157,67
2014,4,123,53
2013,5**,181,82
2013,5*,172,77
2013,5,166,75
2013,4,132,59
2013,3,119,54
2012,5**,180,80
2012,5*,0,0
2012,5,0,0
2012,4,152,68 
