year,level,score,percentage
2024,5**,92,92
2024,5*,76,76
2024,5,72,72
2024,4,0,0
2024,3,0,0
2024,2,42,42
2023,5**,91,91
2023,5*,76,76
2023,5,65,65
2023,4,57,57
2023,3,47,47
2023,2,42,42
2022,5**,85,85
2022,5*,80,80
2022,5,0,0
2022,4,51,51
2022,3,0,0
2022,2,0,0
2021,5**,94,94
2021,5*,85,85
2021,5,74,74
2021,4,62,62
2021,3,58,58
2021,2,0,0
2020,5**,87,87
2020,5*,83,83
2020,5,79,79
2020,4,60,60
2020,3,49,49
2020,2,0,0
2019,5**,93,93
2019,5*,91,91
2019,5,80,80
2019,4,73,73
2019,3,58,58
2019,2,0,0
2018,5**,93,93
2018,5*,86,86
2018,5,77,77
2018,4,68,68
2018,3,56,56
2018,2,0,0
2017,5**,91,91
2017,5*,79,79
2017,5,74,74
2017,4,64,64
2017,3,52,52
2017,2,0,0
2016,5**,88,88
2016,5*,84,84
2016,5,77,77
2016,4,67,67
2016,3,46,46
2016,2,0,0
2015,5**,93,93
2015,5*,90,90
2015,5,77,77
2015,4,67,67
2015,3,47,47
2015,2,0,0
2014,5**,84,84
2014,5*,75,75
2014,5,60,60
2014,4,57,57
2014,3,43,43
2014,2,0,0
2013,5**,92,92
2013,5*,79,79
2013,5,71,71
2013,4,55,55
2013,3,38,38
2013,2,0,0
2012,5**,91,91
2012,5*,87,87
2012,5,73,73
2012,4,57,57
2012,3,42,42
2012,2,0,0 
