year,level,score,percentage
2025,5**,172,90
2025,5*,159,83
2025,5,142,74
2025,4,118,62
2025,3,94,49
2024,5**,167,95
2024,5*,156,89
2024,5,143,81
2024,4,114,65
2024,3,89,51
2023,5**,173,90
2023,5*,158,82
2023,5,142,74
2023,4,114,59
2023,3,103,54
2023,2,64,33
2022,5**,168,94
2022,5*,156,87
2022,5,143,80
2022,4,121,68
2022,3,109,61
2022,2,87,49
2021,5**,169,90
2021,5*,157,84
2021,5,142,76
2021,4,116,62
2021,3,103,55
2020,5**,171,94
2020,5*,158,87
2020,5,144,79
2020,4,113,62
2020,3,90,49
2019,5**,170,90
2019,5*,158,84
2019,5,143,76
2019,4,123,65
2019,3,100,53
2018,5**,170,90
2018,5*,158,83
2018,5,146,77
2018,4,119,63
2018,3,105,52
2017,5**,170,93
2017,5*,159,87
2017,5,150,82
2017,4,122,67
2017,3,100,55
2016,5**,171,92
2016,5*,160,86
2016,5,146,78
2016,4,122,66
2016,3,110,59
2015,5**,169,92
2015,5*,159,87
2015,5,145,90
2015,4,119,65
2015,3,95,52
2014,5**,170,92
2014,5*,160,87
2014,5,146,79
2014,4,120,65
2014,3,90,49
2013,5**,178,89
2013,5*,163,81
2013,5,149,74
2013,4,123,61
2013,3,105,52
2012,5**,184,93
2012,5*,162,82
2012,5,156,79
2012,4,134,68
2012,3,115,58
2015,5**,169,93
2015,5*,159,87
2015,5,146,80
2015,4,119,65
2015,3,95,52
2014,5**,170,92
2014,5*,160,87
2014,5,146,79
2014,4,120,65
2014,3,90,50
2013,5**,178,89
2013,5*,163,81
2013,5,149,74
2013,4,123,61
2013,3,105,52
