year,level,score,percentage
2024,5**,460,92
2024,5*,425,85
2024,5,378,76
2024,4,322,64
2024,3,280,56
2023,5**,165,92
2023,5*,153,85
2023,5,132,74
2023,4,109,61
2023,3,80,45
2022,5**,172,85
2022,5*,155,76
2022,5,137,67
2022,4,96,47
2021,5**,168,90
2021,5*,159,86
2021,5,126,68
2021,4,124,67
2021,3,79,42
2020,5**,438,88
2020,5*,400,80
2020,5,352,70
2020,4,288,58
2020,3,250,50
2019,5**,444,89
2019,5*,413,83
2019,5,359,72
2019,4,325,65
2019,3,264,53
2018,5**,430,86
2018,5*,391,78
2018,5,345,69
2018,4,300,60
2018,3,250,50
2017,5**,450,90
2017,5*,414,83
2017,5,390,78
2017,4,330,67
2017,3,274,55
2016,5**,435,87
2016,5*,398,80
2016,5,350,70
2016,4,270,54
2016,3,241,48
2015,5**,429,86
2015,5*,401,80
2015,5,357,71
2015,4,300,60
2015,3,279,56
2014,5**,435,87
2014,5*,400,80
2014,5,356,71
2014,4,302,61
2014,3,277,56
2013,5**,423,85
2013,5*,392,78
2013,5,326,65
2013,4,261,52
2013,3,245,49
2012,5**,443,89
2012,5*,415,83
2012,5,376,75
2012,4,340,68
2012,3,284,57
